Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
1/9/2023,Boston,MA,Robert Mercer (58) died in fall from parapet walkway.,1642545,Federal,No
1/6/2023,Coyanosa,TX,Jose Torres (29) fatally struck by falling skid steer.,1642314,Federal,Yes
1/5/2023,New Town,ND,Daniel Navarrette (42) died after falling into drill rig mud pit.,1642619,Federal,No
1/4/2023,Chattanooga,TN,George Walker (58) died in fall through skylight.,1641715,State,Yes
1/4/2023,Kalispell,MT,Howard Negri (61) died in fall from scaffold.,1642322,Federal,Yes
1/4/2023,Rogers City,MI,Glen Tulgetske (57) fatally struck by tractor hitch.,1641984,State,Yes
1/2/2023,Park City,UT,Christian Helger (28) died in fall from ski lift.,1641631,State,No
1/1/2023,Upper Sandusky,OH,Keris Riebel (22) fatally attacked by customer.,1641377,Federal,No
12/31/2022,Montgomery,AL,Courtney Edwards (34) fatally injured by jet engine.,1641783,Federal,Yes
12/29/2022,Marshall,TX,Matthew Williams (24) fatally caught in machine.,1641308,Federal,Yes
12/28/2022,Clinton,LA,Larry Hickingbottom (62) fatally crushed by hydraulic claw arms.,1641322,Federal,No
12/25/2022,Owatonna,MN,Frederick Urch (58) died in fall from ladder.,1640985,State,No
12/24/2022,Minneapolis,MN,James Hunter (70) fatally injured in fall on ground.,1641294,State,Yes
12/23/2022,North Las Vegas,NV,David Ratajczyk (77) died in fall from top of mixer truck.,1641370,State,Yes
12/22/2022,Austin,TX,Roman Ferretiz (53) fatally struck by vehicle.,1640712,Federal,No
12/22/2022,Gurnee,IL,Leily Lopez Hernandez (29) fatally injured by equipment during cleaning.,1640500,Federal,Yes
12/22/2022,Tyler,TX,Jose Octaviano Aguilar Orellana (54) died in fall from tree.,1640829,Federal,Yes
12/21/2022,Newark,NJ,Ilija Tutureski (66) died in fall from scaffold.,1642615,Federal,No
12/21/2022,Troy,AL,Evan Kilpatrick (20) fatally crushed by roller.,1640590,Federal,Yes
12/19/2022,Fayetteville,NC,Charles Noland III (47) died from exposure to chemical fumes.,1641288,State,No
12/19/2022,Goldsboro,NC,Patrick White (40) fatally shot.,1640081,State,No
12/18/2022,Huber Heights,OH,Garth Haselton (61) fatally struck by passing vehicle.,1640510,Federal,Yes
12/16/2022,Franklin,MA,Coutier Perez (32) fatally struck by vehicle.,1639715,Federal,No
12/16/2022,Greenwood,IN,Scott Stinson (53) fatally crushed between concrete box and trench wall.,1639743,State,Yes
12/16/2022,Zapata,TX,Adrian Sambrano (52) fatally struck by collapsing wellhead.,1639964,Federal,No
12/15/2022,Austin,TX,Juan Sanchez (19) died in fall through floor hole.,1640226,Federal,Yes
12/15/2022,Boiling Springs,NC,Jerry Hensley (80) died in vehicle collision.,1639650,State,No
12/15/2022,Willow Park,TX,Jazzel Conception (32) fatally struck by rigging.,1639724,Federal,Yes
12/14/2022,Chapel Hill,NC,Gabriel Strathern (29) died in fall from roof.,1639647,State,Yes
12/14/2022,Toa Baja,PR,Jose Miguel Barbosa Ortiz (53) fatally engulfed by soil.,1639742,State,No
12/13/2022,Terrell,TX,Alan Brittingham (66) fatally crushed by forklift.,1639023,Federal,No
12/12/2022,Columbia,MD,Ever A Velasquez Almendares (37) died in fall from roof.,1638814,State,Yes
12/12/2022,Henderson,CO,David Krause (71) fatally injured in fall on ice.,1638471,Federal,Yes
12/12/2022,Hyattsville,MD,Adonato Flores (48) fatally struck by truck tailgate.,1639134,State,No
12/12/2022,Jonesboro,AR,Austin Neth (31) died in trench collapse.,1638745,Federal,Yes
12/10/2022,Council,ID,Stacey Keen (39) fatally injured when lift table collapsed.,1638429,Federal,No
12/10/2022,Marion,NC,Larry Palmer (62) fatally struck by forklift.,1639336,State,Yes
12/10/2022,Paragould,AR,Christopher Alexander Blackshear (47),1638371,Federal,Yes
12/9/2022,Maquoketa,IA,Joe Thomas (59) died in fall from ladder.,1639184,State,No
12/9/2022,Memphis,TN,Michael Stewart (48) electrocuted by power lines.,1641355,State,Yes
12/9/2022,South Boston,MA,Eric Worthen (58) fatally struck by crane.,1638583,Federal,No
12/7/2022,Jewell,IA,Jesse Berhow (49) fatally caught in auger.,1638078,State,Yes
12/7/2022,Mission,TX,Raul H. Gonzalez Jr. (38) fatally struck barrier.,1638160,Federal,No
12/7/2022,Prospect,KY,Roy Smith (74) fatally struck by tractor.,1638342,State,No
12/5/2022,Fort Lauderdale,FL,Joseph Bien Aime (45) fatally struck by crane load.,1638515,Federal,Yes
12/5/2022,Martins Ferry,OH,Robert Mike Jr. (29) fatally crushed by mixer.,1637582,Federal,Yes
12/5/2022,Platteville,CO,Gus Spencer (19) fatally struck by falling board.,1637373,Federal,Yes
12/5/2022,San Augustine,TX,Jeremy Martin (23) and Hershel Sullivan (69) fatally struck by pipe.,1637709,Federal,No
12/5/2022,Superior,WI,Randall Mulvaney (64) died in fall from barge.,1637285,Federal,Yes
12/5/2022,Virginia Beach,VA,Daniel Turnipseed (42) and Kara Turnipseed (40) died in welding explosion.,1637590,State,No
12/2/2022,Bessemer,AL,Noah Thompson (30) fatally crushed by excavator.,1637626,Federal,Yes
12/2/2022,Carrollton,VA,John Grover Jr. (72) died in fall from ladder.,1637463,State,No
12/2/2022,Columbus,GA,Jonathan Begley (41) fatally struck by vehicle.,1637451,Federal,Yes
12/2/2022,Fallston,MD,Brandon Forsyth (20) fatally crushed by falling conveyor belt.,1637553,State,Yes
12/1/2022,Delano,MN,Ronald Olson (61) fatally injured in fall on floor.,1637320,State,No
12/1/2022,Miami,FL,Juan Gabriel Martin Perez (22) electrocuted while installing insulation.,1637178,Federal,No
12/1/2022,Nicholasville,KY,Bradley Anderson (44) died in vehicle collision.,1645009,State,Yes
12/1/2022,Orlando,FL,"David Gonzalez (22), Lindsey Phillips (23), Landon Bourland (24) and Elizabeth Tiralongo (22) died in fire.",1636921,Federal,Yes
11/30/2022,Columbus,OH,Earl Toles (69) fatally crushed under falling vehicle.,1637604,Federal,Yes
11/30/2022,Memphis,TN,Angelo Scott (48) died in vehicle collision.,1636736,State,Yes
11/30/2022,Midland,TX,Sergio Vazquez (61) fatally struck by truck.,1636825,Federal,No
11/30/2022,Neenah,WI,Sergio Rubio Silva (37) fatally struck by excavator.,1636507,Federal,Yes
11/30/2022,Pecos,TX,Mauricio Roque (48) fatally crushed by forklift.,1642335,Federal,Yes
11/29/2022,Jacksonville,FL,Jason Croker (52) fatally crushed between truck and trailer.,1636225,Federal,Yes
11/29/2022,Kings Creek,SC,Timothy Dellinger (60) fatally injured in fall from elevated work platform.,1639094,State,No
11/28/2022,Clarksville,IN,Emmanuel Martinez (22) died in trench collapse.,1636222,State,No
11/28/2022,Hermitage,TN,Vishal Patel (36) fatally shot during robbery.,1637058,State,Yes
11/28/2022,Houston,TX,Maria Ramona Chavira Cruz (54) fatally struck by falling bundle of clothing.,1636172,Federal,No
11/28/2022,New York,NY,Ivan Alejandro Frias Valencia (36) died in fall from scaffold.,1636176,Federal,Yes
11/25/2022,Burbank,CA,Brenton Chester (47) died in fall through skylight.,1635997,State,No
11/25/2022,Cedar Lake,IN,Ryan Semla (37) fatally struck by falling piece of structural steel.,1635968,State,Yes
11/24/2022,Brooklyn,NY,Ergashboy Sayfiev (45) fatally crushed between palet and forklift.,1636504,Federal,Yes
11/24/2022,Saratoga Springs,NY,Nelson Bernard (52) died in fall from ladder.,1635675,Federal,Yes
11/23/2022,Ridgeville,SC,Keith Mimms (25) fatally injured by grader during servicing.,1636254,State,No
11/23/2022,Salina,KS,Nathaniel Goben (27) fatally crushed when cart overturned.,1636234,Federal,Yes
11/23/2022,Wallingford,CT,Christopher Mucci (29) died in fall from pickup truck bed.,1636429,Federal,Yes
11/22/2022,Cary,NC,Brandon Lane Riley (36) fatally injured in fall from ladder.,1647883,State,No
11/22/2022,Franklin,TN,Dale Fuller (65) fatally injured when trailer fell of jack.,1640565,State,Yes
11/22/2022,Plain,WI,Zane Riley (25) fatally struck by motor vehicle.,1635537,Federal,No
11/22/2022,Saint Petersburg,FL,Theodore Michael Paxton (40) died in fall from bucket truck.,1635727,Federal,Yes
11/22/2022,Sulphur,LA,Alvin Lively (48) died from ashyxiation or chemical exposure while cleaning tanker.,1637204,Federal,Yes
11/21/2022,Holly Hill,FL,Frank Belle (55) fatally crushed between truck and excavator.,1635948,Federal,No
11/21/2022,Nicholasville,KY,Juan Rosales Ojeda (57) died in fall from barn loft.,1635561,State,Yes
11/21/2022,Spring Hill,KS,Caleb Graham Smith (29) fatally struck by road grader.,1635693,Federal,No
11/21/2022,Tampa,FL,Raymond Cruz (52) died in fall from roof.,1635218,Federal,No
11/19/2022,Miami,FL,Jose Martinez (31) died in fall from barrier wall.,1636718,Federal,Yes
11/19/2022,Saint Louis,MO,Michael Charles Douglas (51) died in fall through skylight.,1634238,Federal,Yes
11/18/2022,Augusta,GA,Rex Broadwater (66) died from exposure to referigeration chemicals.,1635864,Federal,Yes
11/18/2022,Century,FL,Sawyer Deese (19) fatally struck by nitrogen vent valve.,1635114,Federal,Yes
11/18/2022,Lenexa,KS,Tim Allen (68) ftally crushed by section of steel water tank.,1635091,Federal,Yes
11/18/2022,Shirley,NY,Pierre Morris (44) drowned in creek.,1635814,Federal,Yes
11/17/2022,Clewiston,FL,Miguel Albor (57) fatally crushed between train wagons.,1634881,Federal,Yes
11/17/2022,Palm Harbor,FL,Christopher Straughn (43) died in fall from tree.,1634970,Federal,No
11/16/2022,Miami,FL,Harold Milton (58) fatally crushed between truck and loading dock.,1634953,Federal,No
11/15/2022,Georgetown,KY,Diego Garcia (39) fatally crushed by falling forklift load.,1634747,State,Yes
11/15/2022,Rochester,MN,Michael Schad (59) died from carbon monoxide exposure.,1634758,State,Yes
11/14/2022,Bensenville,IL,Thai Nguyen (78) fatally crushed by falling metal sheets.,1634388,Federal,No
11/14/2022,Fair Oaks,IN,Gordon Van Baren (30) fatally injured by agitator boat.,1634152,State,Yes
11/14/2022,Vienna,VA,Nelson Antonio Segovia Campos (29) fatally inured in fall.,1634130,State,No
11/12/2022,Moab,UT,Emmalynn Herbstritt (21) died in fall while rapelling.,1634708,State,No
11/11/2022,Hickman,KY,Brandon Hodges (37) died in fall through skylight.,1635271,State,Yes
11/11/2022,Summerville,SC,Jose M. Castellanos (41) died in fall from roof.,1634195,State,Yes
11/10/2022,Big Bear City,CA,Israel Medelotapan (51) fatally struck by falling tree limb.,1633782,State,No
11/10/2022,Monroe,NY,Julio Herberto Yupa-Rea (28) died in fall from scaffold tower.,1633930,Federal,Yes
11/9/2022,Orient,NY,Solomon Alfredo Cruz-Jimenez (38) died in fall from roof.,1633878,Federal,Yes
11/8/2022,Lockbourne,OH,John Bizic (56) fatally crushed between two shipping containers.,1633485,Federal,No
11/8/2022,Twentynine Palms,CA,Michael Micheletti (42) fatally crushed under tractor-trailer.,1643662,State,No
11/4/2022,Charleston,SC,Diane Royer (69) fatally crushed between two box trucks.,1635050,State,No
11/4/2022,Rialto,CA,Michael Williams (55) fatally struck by falling wood pile.,1632662,State,Yes
11/3/2022,Dumas,TX,Joseph Cruz (38) electrocuted when derrick contacted power line.,1633048,Federal,Yes
11/3/2022,San Diego,CA,Luis Mejia (64) died from injuries suffered in fall through skylight.,1638660,State,No
11/2/2022,Laureldale,PA,Carl Guthrie (53) died in fall through roof.,1632439,Federal,Yes
11/1/2022,Omaha,NE,Ray Sexton (32) electrocuted by power line while installing sign.,1632103,Federal,Yes
10/31/2022,Bryan,TX,Jose Luis-Garcia (35) died in fall from canopy.,1629977,Federal,No
10/31/2022,Los Angeles,CA,Cris Abraham (36) asphyxiated from carbon dioxide exposure.,1632638,State,No
10/31/2022,Santa Fe Springs,CA,Juan Zepeda (64) fatally struck by falling boxes.,1632826,State,Yes
10/29/2022,Belton,MO,Douglas Bentley (53) fatally struck by dump truck.,1631496,Federal,No
10/29/2022,Mc Cook,IL,Charles Stevens Urueta Ruiz (35) fatally crushed inside machine.,1631277,Federal,Yes
10/29/2022,Westlake Village,CA,Juan Ramon Gonzaga Del Pino (50) died in fall from scaffold.,1633722,State,No
10/28/2022,Cucumber,WV,Brian Hunt (30) fatally struck by falling tree.,1631274,Federal,Yes
10/28/2022,Merced,CA,Cory Null (51) fatally struck by truck backing up.,1631771,State,Yes
10/28/2022,Wyoming,MI,Shawn Snook (44) fatally crushed between truck and loading dock.,1631328,State,Yes
10/27/2022,Chicago,IL,Edward Bowersox (60) fatally struck by refuse truck.,1631129,State,Yes
10/27/2022,Tawas City,MI,Cody Wilbur (30) fatally pinned between bucket lift and pillar.,1631326,State,No
10/26/2022,Grandville,MI,Levi J. Linton (51) fatally struck by falling boards.,1631316,State,Yes
10/26/2022,Junction City,KS,Major Willie Washington (71) fatally crushed between truck and parked trailer.,1631417,Federal,No
10/26/2022,Kemah,TX,Oscar Garcia (67) fatally crushed by falling boxes.,1631411,Federal,Yes
10/25/2022,Frisco,TX,Sergio Garcia-Olalde (28) died in fall from rafters.,1631475,Federal,Yes
10/25/2022,Milwaukee,WI,Luis Reyna-Terrones (56) fatally crushed under truck dump bed.,1630495,Federal,No
10/24/2022,Cedar Park,TX,Jose Gonzalez (56) fatally injured in fall on floor.,1635829,Federal,Yes
10/24/2022,Excelsior Springs,MO,Jamie Glenn Burnam (49) fatally attacked by dogs.,1630886,Federal,Yes
10/24/2022,Longview,TX,Charleton William Davidson (29) fatally struck by falling blocks.,1630255,Federal,Yes
10/21/2022,Kansas City,MO,Guadelupe Armendariz (53) fatally struck by pavement grinder.,1629815,Federal,No
10/21/2022,Milton,FL,Marlon Dizon (59) died in fall through skylight.,1630222,Federal,Yes
10/21/2022,Stonington,IL,Steve Jordan (69) fatally struck by train.,1630115,Federal,Yes
10/20/2022,Goose Creek,SC,Daniel Cargajal (32) died in fall from roof.,1630031,State,Yes
10/20/2022,Sumterville,FL,Joaquin Miranda (45) fatally injured in soil compactor rollover.,1629858,Federal,Yes
10/20/2022,The Woodlands,TX,Angel Guzman Salgado (28) died in excavation collapse.,1629874,Federal,Yes
10/19/2022,Martinez,GA,Keontae Alston (22) drowned in pool.,1630634,Federal,Yes
10/19/2022,Memphis,TN,Joe Montgomery (47) died in fall from ladder.,1629501,State,Yes
10/18/2022,Midland,TX,Alejandro Lira Munoz (50) fatally struck by boom and bucket.,1629513,Federal,Yes
10/18/2022,Sugar Land,TX,Marco Garcia (60) fatally struck by truck trailer.,1629019,Federal,Yes
10/18/2022,Winton,CA,Francisco Angel Espinoza Ortega (60) died in fall through hole in roof.,1629039,State,Yes
10/17/2022,Batsbrg-Levil,SC,Eddie Boland (36) fatally crushed by aerial lift.,1629079,State,Yes
10/17/2022,Corinth,TX,Roberto Perez (50) fatally crushed between tail gate and truck.,1637669,Federal,Yes
10/17/2022,Las Vegas,NV,Robert Kennedy (54) fatally crushed by overturned forklift.,1628535,State,Yes
10/17/2022,Lawrenceville,GA,Shannon Sweetser (47) fatally struck by cargo container truck.,1629119,Federal,Yes
10/17/2022,Morton,TX,John Villarreal (39) electrocuted by contact with meter box.,1628855,Federal,No
10/17/2022,New Orleans,LA,Carmelo Quiroz Rangel (53) fatally struck by falling steel beam.,1629527,Federal,Yes
10/17/2022,Wake Forest,NC,Otoniel Lopez (32) drowned when forklift overturned in pond.,1629389,State,Yes
10/16/2022,Los Angeles,CA,Juan Silva (49) died in fall from conveyor belt.,1629721,State,Yes
10/14/2022,Aurora,CO,Josue Zabala-Rodriguez (44) fatally injured by grinder.,1628368,Federal,Yes
10/14/2022,Camden,NJ,Victor Martins (55) and Donato Fiocca (53) fatally struck by train.,1628330,Federal,Yes
10/14/2022,Lancaster,TX,Gerson (David) Escobar-Salinas (36) electrocuted by lighting system.,1628597,Federal,Yes
10/13/2022,Fort Mill,SC,Robert Woyee (69) fatally struck by forklift.,1628798,State,Yes
10/13/2022,Itta Bena,MS,Nicolas Lennox (20) fatally engulfed in grain.,1628096,Federal,Yes
10/13/2022,Washington,DC,Phuong Ly (50) electrocuted by light fixture.,1627980,Federal,Yes
10/12/2022,Des Moines,IA,Wayne Welsh (68) fatally injured in vehicle collision.,1628132,State,Yes
10/11/2022,Hillside,NJ,Rafael Giron Perez (50) died in fall from tree.,1627549,Federal,No
10/11/2022,Menlo Park,CA,Salvador Villalobos (49) fatally injured by wood chipper.,1627448,State,No
10/11/2022,Oxon Hill,MD,Jose Huerta Melendez (56) fatally struck by motor vehicle.,1627456,State,No
10/11/2022,Russell,KS,Cesar Guzman (53) fatally injured in vehicle collision.,1627867,Federal,No
10/10/2022,Baton Rouge,LA,Freddie Robertson (59) fatally struck by trench box.,1622758,Federal,Yes
10/10/2022,Clear Lake,SD,Michael Carpenter (38) died in explosion.,1627407,Federal,Yes
10/10/2022,Little Rock,AR,Hunter Sparks (22) died in fall through skylight.,1627299,Federal,Yes
10/9/2022,Blanchard,OK,Shane Marshall (27) fatally struck by falling cement storage tank.,1627233,Federal,Yes
10/9/2022,North Port,FL,Sebastain Cruz Monter (59) ded in fall from roof.,1627699,Federal,No
10/8/2022,Brockton,MA,Natalio Daviega (57) fatally crushed under tire.,1627065,Federal,No
10/8/2022,Harrison,NY,Salamon Alverado (49) fatally struck by tree branch.,1656513,Federal,Yes
10/8/2022,Oak Creek,WI,Mauricio Villanizar (40) died in fall from racking system.,1627696,Federal,No
10/8/2022,Peculiar,MO,Johnathan Wilson (35) fatally struck by motor vehicle.,1627723,Federal,Yes
10/7/2022,Erie,PA,Benjamin McKnight Jr. (20) fatally crushed by rollup door.,1627383,Federal,Yes
10/7/2022,Landover,MD,Santos Valentin (22) died in fall from storage rack.,1627194,State,Yes
10/7/2022,North Kansas City,MO,Robert Kreisel (30) fatally struck by wire coil bundle falling from forklift.,1627433,Federal,Yes
10/7/2022,Pittsburgh,PA,Derek Cronk (41) fatally struck by tractor trailer.,1626832,Federal,Yes
10/6/2022,Bismarck,ND,Jacquie Sorrells (52) died in fall on stairs.,1626915,Federal,No
10/6/2022,Plantsville,CT,James Anderson (52) fatally crushed between truck and dumpster.,1626784,Federal,No
10/5/2022,Boston,MA,Robert Mello (50) died in fall while cleaning windows.,1626478,Federal,Yes
10/5/2022,Greenville,NC,Ralph Scott (80) died from injuries duffered in a fall.,1631461,State,Yes
10/5/2022,Hays,KS,Jason Brown (44) fatally struck by axel while repairing vehicle.,1626766,Federal,Yes
10/5/2022,Kidron,OH,Gordon Geiser (80) fatally struck by guardrail.,1629877,Federal,Yes
10/5/2022,Oakridge,OR,Joshua Stewart (38) fatally struck by truck.,1633111,State,No
10/5/2022,Spring,TX,Rogelio Martinez (22) fatally crushed by auger.,1626274,Federal,Yes
10/4/2022,Atlanta,GA,Scott Sutton (40) died in fall from tree.,1626736,Federal,Yes
10/4/2022,Goshen,IN,Pete Eicher (25) died in fall from roof.,1626391,State,No
10/4/2022,South Orange,NJ,Jorge Vasques (53) died in fall from roof.,1626151,Federal,Yes
10/3/2022,Gates,OR,James Gilbert (70) died when tractor trailer fell off cliff.,1633110,State,No
10/3/2022,Long Beach,CA,Armando Fierro (55) died in fall inside storage tank.,1637074,State,No
10/3/2022,Mount Enterprise,TX,A.J. Gray (18) fatally crushed by dump truck.,1630428,Federal,No
10/1/2022,Ingleside,TX,Ricardo Jazal Loredo Rivas (29) died in fall from elevation.,1625952,Federal,No
9/30/2022,Memphis,TN,Joseph (Trent) Johnston (33) fatally struck by motor vehicle.,1626203,State,Yes
9/29/2022,Independence,KS,Marty Raney (60) fatally sruck by pickup truck.,1625538,Federal,Yes
9/29/2022,Tollesboro,KY,Allen Congleton (27) fatally struck by vehicle.,1625376,State,No
9/29/2022,Vertrees,KY,Brian Scott Clemons (46) fatally crushed by skid steer.,1625374,State,Yes
9/28/2022,Carmichaels,PA,Cody Hatt (29) died in fall from catwalk.,1625428,Federal,Yes
9/28/2022,Maplesville,AL,Marlon Caban Quinones (36) electrocuted by machine.,1625354,Federal,Yes
9/28/2022,New Orleans,LA,Jose Adan Bonilla electrocuted by wires while cutting through flooring.,1626058,Federal,Yes
9/28/2022,Saint Paul,MN,Peter Davis (61) fatally struck by dump truck.,1629407,State,Yes
9/27/2022,Katy,TX,Jose Rivera Villanueva (40) died in fall between roof rafters.,1625525,Federal,No
9/27/2022,Lincoln,IL,David Freligh (50) fatally struck by forklift.,1616982,Federal,No
9/26/2022,Carnelian Bay,CA,Maria Arevalos (56) fatally struck by motor vehicle.,1624863,State,No
9/26/2022,Centralia,IL,Darrel McCammack (54) died in excavation collapse.,1625551,Federal,Yes
9/26/2022,Gaithersburg,MD,Brian Story (38) died in fall through floor.,1624755,Federal,Yes
9/25/2022,Amelia Court House,VA,Wilford L. Poore (73) fatally injured by rotating power shaft.,1624521,State,No
9/23/2022,Robbinsville,NJ,Antonio Marques (57) fatally struck by backhoe.,1624727,Federal,Yes
9/22/2022,Lenoir City,TN,Juan Avila (42) died in fall from scaffold.,1625611,State,Yes
9/21/2022,Amo,IN,David Appleby (61) fatally struck by excavator backing up.,1623790,State,Yes
9/21/2022,Union,NJ,William Keith Bemis (55) died in fall from aerial lift.,1623964,Federal,Yes
9/20/2022,Brooklyn,NY,William Bocansaca (41) died in fall from scaffold.,1623528,Federal,Yes
9/20/2022,Oregon,OH,Maxwell (34) and Benjamin (32) Morrissey died in fuel fire.,1623687,Federal,Yes
9/19/2022,Los Angeles,CA,Quintil Gonzalez (48) fatally struck by falling paper bale stack.,1623374,State,No
9/19/2022,Mclean,VA,Ronald Bethea (48) electrocuted when bucket lift contacted power line.,1623233,State,No
9/19/2022,Ocala,FL,Y-Hall Niebuonrit (36) fatally crushed by pallet nailig machine.,1623385,Federal,Yes
9/19/2022,Seabrook,NJ,Dale Devilli (63) fatally injured by mechanical kettle paddles.,1623083,Federal,Yes
9/16/2022,Seminole,OK,Teresa Estrada (53) died in fall from roof.,1622790,Federal,Yes
9/16/2022,Upland,IN,Ronald Petty (49) lectrocuted while replacing AC motor.,1623182,State,No
9/15/2022,Palm Beach Gardens,FL,Pedro Pantoja (50) died in fall from roof.,1622682,Federal,No
9/15/2022,Wilmington,OH,Bethany Wiget (33) fatally struck by motor vehicle.,1622420,Federal,Yes
9/15/2022,Winder,GA,Labarron Tyrondez Maleek Dees (26) fatally crushed by overturning vehicle.,1623312,Federal,Yes
9/14/2022,Apex,NC,Lucio Juarez Martine (35) died in fall from roof.,1622773,State,Yes
9/14/2022,Cleveland,OH,Albert Dedaj (51) died in fall when balcony collapsed.,1622133,Federal,No
9/14/2022,Fall River,MA,Glen Berg (55) fatally crushed by excavator bucket.,1621820,Federal,No
9/14/2022,Saginaw,MN,Brad Wojtysiak (40) fatally injured after becoming caught in conveyor belt.,1623434,State,Yes
9/14/2022,South Gate,CA,Douglas Alexander Castillo (31) died in trench collapse.,1622129,State,Yes
9/13/2022,Morganton,NC,Noe Hernandez Gonzal (41) fatally struck by forklift.,1622340,State,Yes
9/13/2022,Wasco,CA,Antonio Lanuza (57) fatally struck by falling forklift attachment.,1622489,State,No
9/12/2022,Butterfield,MO,Craig Golubski (57) died when riding lawn mower overturned.,1621640,Federal,Yes
9/11/2022,Delano,CA,Alberto Soto (37) fatally crushed between equipment and tree.,1621307,State,No
9/10/2022,Athens,TX,Larry Blank (69) fatally crushed by forklift boom.,1621602,Federal,No
9/10/2022,Marlborough,MA,Luis Loja (21) died in fall from roof.,1620924,Federal,Yes
